ID_Lead,Taille_Entreprise,Poste_Contact,Secteur,Source_Lead,Temps_Sur_Site_Sec,Pages_Vues,Emails_Ouverts,Derniere_Activite_Jours,Converti
LD-00397,11-50,Stagiaire,Education,Emailing,120,1,6,6,0
LD-00398,51-200,Manager,Tech,Emailing,179,2,4,40,0
LD-00399,51-200,Manager,Sante,Site Web,238,4,5,77,0
LD-00400,1-10,Operationnel,Sante,Webinar,83,2,2,23,0
LD-00401,200+,Stagiaire,Sante,Webinar,229,5,5,52,0
LD-00402,11-50,Operationnel,Education,Emailing,202,4,7,4,0
LD-00403,51-200,Operationnel,Industrie,Cold Call,220,3,9,37,0
LD-00404,11-50,Manager,Retail,Linkedin,120,3,8,42,0
LD-00405,51-200,Manager,Education,Linkedin,86,4,2,44,0
LD-00406,11-50,Operationnel,Sante,Cold Call,45,3,7,42,0
LD-00407,1-10,Operationnel,Education,Emailing,313,2,2,29,0
LD-00408,200+,VP/C-Level,Tech,Linkedin,168,6,1,19,1
LD-00409,1-10,Operationnel,Sante,Webinar,105,1,4,84,0
LD-00410,11-50,Manager,Tech,Cold Call,518,3,3,32,0
LD-00411,200+,Operationnel,Sante,Site Web,8,2,4,44,0
LD-00412,200+,Operationnel,Education,Emailing,341,4,5,55,0
LD-00413,11-50,Stagiaire,Industrie,Cold Call,1084,2,2,80,0
LD-00414,11-50,Manager,Retail,Linkedin,392,3,0,5,1
LD-00415,11-50,VP/C-Level,Tech,Emailing,299,2,3,46,0
LD-00416,1-10,Operationnel,Education,Webinar,84,2,5,76,0
LD-00417,11-50,Stagiaire,Industrie,Emailing,47,3,1,45,0
LD-00418,11-50,Stagiaire,Education,Emailing,238,3,1,21,0
LD-00419,51-200,Operationnel,Tech,Webinar,65,4,0,78,0
LD-00420,51-200,Operationnel,Retail,Webinar,34,4,8,22,1
LD-00421,51-200,Stagiaire,Education,Emailing,277,2,2,30,0
LD-00422,1-10,Manager,Sante,Webinar,67,2,1,23,0
LD-00423,11-50,Operationnel,Industrie,Cold Call,442,4,3,5,0
LD-00424,1-10,Operationnel,Education,Webinar,330,2,5,63,0
LD-00425,11-50,Directeur,Industrie,Webinar,338,2,0,59,1
LD-00426,11-50,Operationnel,Sante,Emailing,265,8,8,82,0
LD-00427,51-200,VP/C-Level,Retail,Cold Call,382,3,8,52,0
LD-00428,11-50,Operationnel,Retail,Site Web,294,3,7,65,0
LD-00429,1-10,Directeur,Sante,Site Web,166,4,5,39,0
LD-00430,1-10,Manager,Industrie,Linkedin,63,1,3,81,0
LD-00431,51-200,Directeur,Education,Webinar,394,4,1,3,1
LD-00432,11-50,VP/C-Level,Sante,Webinar,330,4,7,42,1
LD-00433,1-10,Operationnel,Tech,Cold Call,115,4,6,71,0
LD-00434,1-10,VP/C-Level,Industrie,Site Web,7,3,3,27,0
LD-00435,51-200,Operationnel,Retail,Linkedin,183,3,2,28,1
LD-00436,1-10,Operationnel,Sante,Cold Call,9,2,5,54,0
LD-00437,51-200,Operationnel,Retail,Webinar,469,2,0,15,1
LD-00438,51-200,Manager,Industrie,Site Web,586,2,1,53,0
LD-00439,1-10,Operationnel,Retail,Linkedin,37,2,6,72,0
LD-00440,1-10,Manager,Sante,Emailing,203,3,2,70,0
LD-00441,200+,Manager,Industrie,Site Web,17,0,0,4,0
LD-00442,11-50,Manager,Tech,Linkedin,235,4,1,17,0
LD-00443,11-50,Directeur,Sante,Cold Call,76,3,9,34,0
LD-00444,51-200,Operationnel,Education,Emailing,205,6,9,6,1
LD-00445,200+,Operationnel,Sante,Linkedin,83,4,8,36,0
LD-00446,200+,Operationnel,Industrie,Linkedin,28,1,6,39,0
LD-00447,51-200,Operationnel,Sante,Webinar,93,4,6,80,0
LD-00448,11-50,Stagiaire,Tech,Site Web,21,6,9,66,0
LD-00449,1-10,Operationnel,Tech,Webinar,154,3,7,8,1
LD-00450,51-200,Operationnel,Education,Emailing,7,2,7,15,0
LD-00451,11-50,VP/C-Level,Retail,Linkedin,134,1,8,63,0
LD-00452,11-50,Manager,Industrie,Webinar,391,4,1,80,0
LD-00453,200+,Operationnel,Industrie,Site Web,327,4,7,65,0
LD-00454,1-10,Manager,Retail,Emailing,385,3,7,59,0
LD-00455,11-50,Operationnel,Tech,Cold Call,459,2,4,10,0
LD-00456,1-10,Operationnel,Tech,Webinar,19,4,4,7,0
LD-00457,11-50,Manager,Sante,Emailing,24,6,3,74,0
LD-00458,1-10,Operationnel,Education,Cold Call,146,3,4,76,0
LD-00459,1-10,Operationnel,Education,Webinar,403,2,1,81,0
LD-00460,1-10,VP/C-Level,Education,Emailing,659,5,1,12,1
LD-00461,11-50,Directeur,Sante,Emailing,8,1,4,79,0
LD-00462,51-200,Manager,Education,Webinar,79,1,2,46,0
LD-00463,11-50,Manager,Retail,Emailing,43,1,0,32,0
LD-00464,200+,Manager,Sante,Linkedin,253,1,8,32,1
LD-00465,11-50,Operationnel,Retail,Webinar,183,2,1,78,0
LD-00466,1-10,Operationnel,Sante,Emailing,22,3,9,61,0
LD-00467,51-200,Stagiaire,Education,Cold Call,118,1,1,69,0
LD-00468,1-10,Operationnel,Retail,Cold Call,208,1,3,61,0
LD-00469,200+,Manager,Retail,Linkedin,271,2,1,46,0
LD-00470,1-10,Operationnel,Retail,Webinar,3,3,6,68,0
LD-00471,200+,VP/C-Level,Sante,Emailing,398,5,9,55,1
LD-00472,1-10,Directeur,Industrie,Emailing,151,4,0,1,0
LD-00473,51-200,Manager,Education,Cold Call,300,3,1,77,0
LD-00474,11-50,Manager,Retail,Linkedin,296,1,4,67,0
LD-00475,200+,Directeur,Industrie,Cold Call,37,2,1,49,0
LD-00476,1-10,Operationnel,Education,Cold Call,21,0,8,25,0
LD-00477,11-50,Manager,Education,Linkedin,229,2,3,16,1
LD-00478,200+,Operationnel,Retail,Webinar,30,2,8,85,0
LD-00479,11-50,Manager,Retail,Emailing,341,5,0,13,1
LD-00480,11-50,Operationnel,Sante,Webinar,233,3,0,52,0
LD-00481,11-50,Directeur,Industrie,Site Web,331,2,0,36,0
LD-00482,11-50,Directeur,Industrie,Site Web,63,4,3,72,0
LD-00483,11-50,Operationnel,Retail,Site Web,68,5,8,44,0
LD-00484,11-50,Operationnel,Education,Linkedin,200,3,7,83,0
LD-00485,200+,VP/C-Level,Retail,Cold Call,5,2,6,47,0
LD-00486,1-10,Operationnel,Education,Webinar,233,0,0,80,0
LD-00487,1-10,Directeur,Education,Emailing,325,3,2,76,0
LD-00488,200+,Manager,Retail,Site Web,96,1,8,20,0
LD-00489,51-200,Operationnel,Tech,Webinar,260,6,8,18,1
LD-00490,11-50,Operationnel,Industrie,Site Web,34,4,4,54,0
LD-00491,11-50,Operationnel,Education,Site Web,70,3,5,12,0
LD-00492,1-10,Manager,Education,Emailing,659,7,5,25,1
LD-00493,1-10,Operationnel,Tech,Linkedin,772,4,9,60,1
LD-00494,11-50,Manager,Sante,Cold Call,129,3,3,75,0
LD-00495,11-50,Operationnel,Tech,Linkedin,489,1,0,86,0
LD-00496,11-50,Manager,Tech,Webinar,133,2,4,34,0
LD-00497,1-10,Directeur,Education,Linkedin,62,1,0,13,0
LD-00498,200+,VP/C-Level,Industrie,Webinar,55,4,0,38,0
LD-00499,200+,Operationnel,Tech,Webinar,477,2,4,12,1
LD-00500,11-50,Directeur,Sante,Cold Call,34,1,4,36,0
LD-00501,11-50,Manager,Retail,Emailing,155,2,6,28,0
LD-00502,11-50,Manager,Tech,Cold Call,145,1,1,39,0
LD-00503,51-200,VP/C-Level,Tech,Linkedin,242,3,5,77,0
LD-00504,11-50,Operationnel,Sante,Webinar,124,1,1,43,0
LD-00505,1-10,Operationnel,Industrie,Site Web,57,3,9,31,0
LD-00506,200+,Directeur,Tech,Site Web,33,3,4,2,0
LD-00507,51-200,Operationnel,Tech,Webinar,174,1,3,82,0
LD-00508,200+,Directeur,Industrie,Cold Call,228,2,9,42,0
LD-00509,51-200,Directeur,Sante,Emailing,151,3,4,31,0
LD-00510,11-50,Stagiaire,Tech,Cold Call,241,6,1,61,0
LD-00511,11-50,Directeur,Industrie,Webinar,27,3,7,56,1
LD-00512,200+,Operationnel,Tech,Webinar,385,5,7,86,1
LD-00513,51-200,Manager,Retail,Emailing,157,1,5,83,0
LD-00514,1-10,Manager,Education,Linkedin,24,2,2,14,1
LD-00515,1-10,Directeur,Retail,Linkedin,111,3,3,14,1
LD-00516,11-50,Stagiaire,Tech,Emailing,335,3,0,29,0
LD-00517,51-200,Operationnel,Sante,Linkedin,410,1,8,81,1
LD-00518,200+,Manager,Education,Site Web,55,3,9,50,0
LD-00519,1-10,Manager,Retail,Linkedin,223,3,4,50,0
LD-00520,11-50,Manager,Industrie,Linkedin,18,1,7,63,0
LD-00521,11-50,Operationnel,Sante,Linkedin,6,3,2,73,0
LD-00522,200+,Operationnel,Retail,Site Web,147,2,3,65,0
LD-00523,51-200,Operationnel,Industrie,Linkedin,213,4,3,68,0
LD-00524,51-200,Directeur,Tech,Site Web,285,4,7,71,0
LD-00525,11-50,Operationnel,Industrie,Emailing,74,3,8,11,0
LD-00526,11-50,Operationnel,Retail,Cold Call,1,4,2,14,0
LD-00527,1-10,VP/C-Level,Retail,Emailing,117,5,6,83,0
LD-00528,1-10,Stagiaire,Tech,Cold Call,2,3,8,3,0
LD-00529,51-200,VP/C-Level,Industrie,Emailing,17,2,1,8,0
LD-00530,51-200,Manager,Industrie,Cold Call,71,6,3,43,0
LD-00531,200+,Directeur,Tech,Cold Call,103,2,2,9,0
LD-00532,200+,Operationnel,Industrie,Webinar,58,2,7,19,0
LD-00533,11-50,Stagiaire,Tech,Cold Call,156,4,3,12,0
LD-00534,51-200,Manager,Sante,Cold Call,10,1,8,27,0
LD-00535,200+,Directeur,Retail,Webinar,28,0,0,58,0
LD-00536,51-200,Manager,Sante,Linkedin,213,4,0,25,0
LD-00537,1-10,Operationnel,Education,Linkedin,27,4,3,45,0
LD-00538,11-50,Manager,Education,Webinar,183,2,2,48,0
LD-00539,1-10,Manager,Education,Site Web,10,0,2,50,0
LD-00540,200+,Manager,Tech,Cold Call,94,3,9,81,0
LD-00541,11-50,Manager,Industrie,Cold Call,35,6,1,44,0
LD-00542,1-10,Directeur,Sante,Webinar,20,4,9,59,1
LD-00543,11-50,Manager,Sante,Webinar,150,3,9,33,0
LD-00544,11-50,Stagiaire,Sante,Site Web,474,1,1,78,0
LD-00545,11-50,Operationnel,Sante,Linkedin,10,4,7,28,0
LD-00546,1-10,Stagiaire,Education,Emailing,98,4,0,18,0
LD-00547,11-50,Operationnel,Sante,Linkedin,221,2,7,55,0
LD-00548,11-50,Operationnel,Industrie,Cold Call,111,7,9,33,0
LD-00549,51-200,Stagiaire,Education,Webinar,295,2,2,15,0
LD-00550,11-50,Operationnel,Sante,Site Web,35,4,1,61,0
LD-00551,51-200,Operationnel,Tech,Linkedin,577,1,8,11,1
LD-00552,11-50,Directeur,Retail,Site Web,87,3,4,36,0
LD-00553,11-50,Directeur,Retail,Linkedin,75,0,4,15,1
LD-00554,51-200,Stagiaire,Retail,Cold Call,373,1,5,53,0
LD-00555,11-50,VP/C-Level,Education,Emailing,149,3,3,62,0
LD-00556,1-10,Manager,Sante,Site Web,130,2,6,48,0
LD-00557,1-10,Operationnel,Education,Site Web,233,2,6,15,1
LD-00558,51-200,Stagiaire,Industrie,Emailing,156,2,8,63,0
LD-00559,11-50,Manager,Tech,Site Web,31,4,5,87,0
LD-00560,51-200,Manager,Tech,Site Web,201,2,0,43,0
LD-00561,1-10,Manager,Retail,Linkedin,25,3,8,50,1
LD-00562,1-10,Stagiaire,Retail,Linkedin,295,4,9,60,0
LD-00563,1-10,Stagiaire,Retail,Emailing,824,3,8,59,1
LD-00564,11-50,Operationnel,Sante,Cold Call,85,5,4,15,0
LD-00565,11-50,Operationnel,Industrie,Site Web,105,1,6,29,0
LD-00566,11-50,Operationnel,Industrie,Cold Call,8,6,0,75,0
LD-00567,11-50,Operationnel,Industrie,Emailing,2,3,3,82,0
LD-00568,200+,Directeur,Industrie,Emailing,457,4,9,40,1
LD-00569,11-50,Directeur,Retail,Linkedin,24,4,3,31,0
LD-00570,11-50,Operationnel,Tech,Site Web,106,4,4,73,0
LD-00571,51-200,Directeur,Retail,Webinar,304,2,5,86,0
LD-00572,11-50,Operationnel,Industrie,Emailing,396,6,3,11,0
LD-00573,11-50,Operationnel,Retail,Site Web,131,1,5,81,0
LD-00574,51-200,Operationnel,Industrie,Cold Call,149,6,9,62,0
LD-00575,200+,Manager,Education,Linkedin,199,3,6,75,1
LD-00576,1-10,VP/C-Level,Tech,Cold Call,585,3,2,8,1
LD-00577,200+,Manager,Education,Emailing,166,2,8,51,0
LD-00578,11-50,Operationnel,Sante,Emailing,147,3,7,57,0
LD-00579,1-10,Manager,Retail,Cold Call,2,5,0,4,0
LD-00580,11-50,Operationnel,Sante,Emailing,15,4,1,36,0
LD-00581,200+,Directeur,Retail,Site Web,154,4,1,19,0
LD-00582,11-50,Manager,Education,Emailing,495,2,9,24,1
LD-00583,11-50,Operationnel,Industrie,Linkedin,362,4,8,41,0
LD-00584,11-50,Manager,Industrie,Site Web,729,5,8,49,1
LD-00585,1-10,Manager,Retail,Webinar,135,3,8,82,1
LD-00586,1-10,Stagiaire,Industrie,Emailing,279,5,0,46,0
LD-00587,1-10,Manager,Education,Emailing,330,1,6,36,0
LD-00588,1-10,Operationnel,Industrie,Linkedin,187,4,2,10,0
LD-00589,1-10,Manager,Education,Linkedin,74,3,8,78,0
LD-00590,1-10,Directeur,Sante,Cold Call,114,6,7,7,0
LD-00591,11-50,Directeur,Education,Cold Call,351,4,2,12,1
LD-00592,1-10,Manager,Tech,Cold Call,63,3,0,86,0
LD-00593,11-50,Manager,Tech,Linkedin,463,2,8,48,1
LD-00594,51-200,Operationnel,Tech,Cold Call,47,3,9,37,0
LD-00595,11-50,Manager,Retail,Cold Call,249,3,0,75,0
LD-00596,11-50,Operationnel,Retail,Webinar,179,1,2,36,0
LD-00597,1-10,Operationnel,Retail,Cold Call,249,2,5,60,0
LD-00598,1-10,Operationnel,Education,Emailing,103,3,5,77,0
LD-00599,1-10,Operationnel,Retail,Linkedin,485,4,9,8,1
LD-00600,1-10,Manager,Sante,Site Web,180,3,3,7,0
LD-00601,1-10,Stagiaire,Tech,Webinar,61,1,1,43,0
LD-00602,1-10,Manager,Education,Linkedin,183,1,9,58,0
LD-00603,1-10,Operationnel,Tech,Linkedin,60,1,5,81,0
LD-00604,1-10,Stagiaire,Retail,Emailing,62,4,9,86,0
LD-00605,11-50,Manager,Education,Cold Call,91,2,4,46,0
LD-00606,1-10,Stagiaire,Industrie,Emailing,344,4,5,34,0
LD-00607,11-50,Operationnel,Sante,Cold Call,124,2,6,84,0
LD-00608,11-50,Manager,Retail,Cold Call,204,3,8,72,0
LD-00609,11-50,Stagiaire,Retail,Linkedin,89,5,6,22,1
LD-00610,1-10,Directeur,Sante,Cold Call,55,4,3,21,0
LD-00611,51-200,Stagiaire,Sante,Webinar,556,3,9,15,1
LD-00612,11-50,Operationnel,Industrie,Webinar,166,1,4,5,0
LD-00613,1-10,Manager,Retail,Webinar,489,4,5,17,1
LD-00614,51-200,Operationnel,Retail,Linkedin,40,4,8,72,0
LD-00615,200+,Operationnel,Tech,Emailing,28,3,4,19,0
LD-00616,1-10,Operationnel,Education,Site Web,348,4,4,5,0
LD-00617,1-10,Operationnel,Education,Cold Call,205,4,6,23,0
LD-00618,51-200,Directeur,Tech,Site Web,37,3,1,83,0
LD-00619,51-200,Operationnel,Education,Emailing,56,1,2,14,0
LD-00620,1-10,Manager,Sante,Emailing,290,1,1,10,0
LD-00621,1-10,Directeur,Education,Linkedin,108,4,9,31,1
LD-00622,11-50,Operationnel,Education,Webinar,199,4,9,13,1
LD-00623,11-50,Directeur,Tech,Webinar,68,3,1,22,1
LD-00624,11-50,Operationnel,Industrie,Emailing,86,2,2,37,0
LD-00625,11-50,VP/C-Level,Education,Linkedin,842,3,5,39,1
LD-00626,11-50,Stagiaire,Education,Linkedin,51,3,4,10,0
LD-00627,51-200,Manager,Industrie,Cold Call,127,4,4,31,0
LD-00628,1-10,Operationnel,Tech,Webinar,334,3,1,43,0
LD-00629,1-10,Operationnel,Industrie,Emailing,49,0,1,77,0
LD-00630,51-200,Manager,Tech,Site Web,96,5,0,36,0
LD-00631,51-200,Manager,Sante,Webinar,171,2,2,35,0
LD-00632,11-50,Stagiaire,Tech,Cold Call,118,2,6,68,0
LD-00633,11-50,Operationnel,Sante,Linkedin,110,3,4,55,0
LD-00634,1-10,Manager,Sante,Emailing,81,2,6,68,0
LD-00635,11-50,Manager,Tech,Webinar,159,2,8,47,0
LD-00636,11-50,VP/C-Level,Retail,Site Web,176,2,5,6,1
LD-00637,1-10,Manager,Tech,Cold Call,190,1,1,28,0
LD-00638,1-10,VP/C-Level,Education,Cold Call,13,3,0,30,0
LD-00639,11-50,Manager,Education,Webinar,179,4,0,27,0
LD-00640,1-10,Operationnel,Retail,Site Web,551,1,9,69,1
LD-00641,11-50,Operationnel,Sante,Cold Call,140,2,8,39,0
LD-00642,1-10,Manager,Retail,Emailing,226,3,5,35,0
LD-00643,11-50,Manager,Education,Cold Call,146,2,5,44,0
LD-00644,1-10,Stagiaire,Retail,Site Web,347,4,3,15,0
LD-00645,51-200,Operationnel,Tech,Linkedin,477,0,1,83,0
LD-00646,11-50,VP/C-Level,Retail,Linkedin,36,4,9,32,1
LD-00647,11-50,Manager,Sante,Webinar,103,2,2,29,0
LD-00648,51-200,Operationnel,Tech,Site Web,89,7,2,63,0
LD-00649,11-50,Operationnel,Industrie,Cold Call,93,4,7,6,0
LD-00650,1-10,Operationnel,Education,Cold Call,24,2,5,27,0
LD-00651,11-50,Operationnel,Education,Linkedin,302,2,6,28,1
LD-00652,11-50,Operationnel,Retail,Linkedin,6,6,8,5,1
LD-00653,51-200,Stagiaire,Tech,Emailing,135,2,0,41,0
LD-00654,11-50,Manager,Industrie,Linkedin,195,8,1,56,0
LD-00655,1-10,Operationnel,Tech,Emailing,41,3,8,54,0
LD-00656,1-10,Directeur,Education,Cold Call,425,2,4,80,0
LD-00657,11-50,Directeur,Tech,Emailing,328,2,3,18,1
LD-00658,11-50,Operationnel,Industrie,Emailing,114,4,0,77,0
LD-00659,11-50,Manager,Retail,Webinar,95,4,8,43,1
LD-00660,11-50,Operationnel,Sante,Linkedin,48,6,8,89,0
LD-00661,200+,Directeur,Tech,Emailing,235,4,3,74,0
LD-00662,11-50,Operationnel,Sante,Cold Call,25,4,8,29,0
LD-00663,1-10,Manager,Education,Site Web,205,5,9,10,1
LD-00664,1-10,Manager,Retail,Emailing,332,3,0,6,0
LD-00665,1-10,Operationnel,Retail,Linkedin,46,2,4,80,0
LD-00666,1-10,Operationnel,Tech,Webinar,362,3,0,89,0
LD-00667,1-10,Manager,Retail,Cold Call,6,2,3,4,0
LD-00668,1-10,Manager,Tech,Webinar,439,2,4,34,1
LD-00669,1-10,Operationnel,Tech,Site Web,22,8,2,83,0
LD-00670,1-10,Manager,Sante,Emailing,186,2,1,33,0
LD-00671,51-200,Operationnel,Retail,Emailing,51,4,5,4,0
LD-00672,1-10,Manager,Tech,Linkedin,326,8,2,44,0
LD-00673,11-50,Operationnel,Sante,Emailing,129,5,9,76,0
LD-00674,11-50,Directeur,Industrie,Cold Call,26,7,0,31,0
LD-00675,200+,Operationnel,Sante,Site Web,152,3,4,80,0
LD-00676,1-10,Operationnel,Sante,Webinar,94,1,1,66,0
LD-00677,11-50,Stagiaire,Tech,Site Web,194,2,1,58,0
LD-00678,200+,Operationnel,Education,Emailing,384,2,3,60,0
LD-00679,51-200,Manager,Education,Webinar,94,2,3,2,0
LD-00680,51-200,Operationnel,Education,Linkedin,61,6,3,36,0
LD-00681,1-10,Directeur,Sante,Site Web,2,2,6,70,0
LD-00682,1-10,Stagiaire,Tech,Webinar,153,5,0,60,0
LD-00683,11-50,Operationnel,Retail,Webinar,92,2,7,23,1
LD-00684,200+,Operationnel,Sante,Webinar,84,4,9,47,0
LD-00685,11-50,Stagiaire,Sante,Cold Call,36,5,8,46,0
LD-00686,11-50,Operationnel,Tech,Site Web,101,1,9,80,0
LD-00687,1-10,Operationnel,Industrie,Webinar,749,4,5,44,1
LD-00688,51-200,Operationnel,Sante,Site Web,63,1,3,19,0
LD-00689,1-10,Operationnel,Industrie,Webinar,164,5,5,49,0
LD-00690,11-50,Manager,Industrie,Linkedin,269,6,9,88,1
LD-00691,11-50,Manager,Education,Linkedin,248,4,6,58,0
LD-00692,11-50,Stagiaire,Tech,Linkedin,71,3,5,7,0
LD-00693,1-10,Operationnel,Industrie,Emailing,169,1,0,41,0
LD-00694,1-10,VP/C-Level,Tech,Webinar,368,1,4,78,1
LD-00695,11-50,Manager,Education,Emailing,2,1,7,15,0
LD-00696,1-10,Manager,Tech,Site Web,103,3,7,76,0
LD-00697,11-50,Operationnel,Sante,Emailing,45,2,9,53,0
LD-00698,1-10,Manager,Industrie,Site Web,88,0,8,23,1
LD-00699,11-50,Manager,Tech,Site Web,96,1,3,77,0
LD-00700,11-50,Manager,Retail,Site Web,247,6,9,73,0
LD-00701,1-10,VP/C-Level,Tech,Emailing,17,4,5,88,0
LD-00702,11-50,Operationnel,Industrie,Webinar,129,2,6,65,0
LD-00703,1-10,Stagiaire,Education,Emailing,149,4,4,60,0
LD-00704,1-10,Manager,Education,Webinar,122,5,7,10,1
LD-00705,200+,Directeur,Industrie,Webinar,236,0,2,58,1
LD-00706,11-50,Operationnel,Sante,Site Web,87,0,7,47,0
LD-00707,51-200,Operationnel,Sante,Emailing,521,4,4,15,1
LD-00708,1-10,Stagiaire,Education,Webinar,118,3,0,9,0
LD-00709,11-50,Operationnel,Education,Linkedin,152,4,5,13,0
LD-00710,51-200,Manager,Industrie,Webinar,314,1,1,23,0
LD-00711,11-50,Manager,Sante,Linkedin,57,3,6,33,0
LD-00712,11-50,Operationnel,Education,Emailing,14,4,8,9,0
LD-00713,11-50,Operationnel,Sante,Emailing,221,2,2,3,0
LD-00714,11-50,Stagiaire,Education,Emailing,118,5,9,73,0
LD-00715,200+,Operationnel,Tech,Webinar,408,2,3,25,1
LD-00716,51-200,Manager,Retail,Cold Call,730,4,3,88,1
LD-00717,200+,VP/C-Level,Tech,Webinar,91,2,3,71,0
LD-00718,1-10,Directeur,Education,Webinar,96,3,2,36,0
LD-00719,51-200,Stagiaire,Retail,Site Web,94,3,4,89,0
LD-00720,200+,Directeur,Retail,Site Web,70,0,8,20,1
LD-00721,1-10,Manager,Education,Webinar,273,5,7,81,0
LD-00722,1-10,Manager,Education,Linkedin,256,5,9,54,0
LD-00723,51-200,Operationnel,Sante,Site Web,117,2,1,19,0
LD-00724,11-50,Operationnel,Education,Webinar,8,2,8,60,0
LD-00725,51-200,Operationnel,Industrie,Cold Call,66,1,9,37,0
LD-00726,1-10,Stagiaire,Education,Linkedin,62,0,1,3,0
LD-00727,51-200,Operationnel,Industrie,Emailing,299,5,6,86,0
LD-00728,1-10,Operationnel,Education,Webinar,16,2,4,19,0
LD-00729,1-10,Operationnel,Sante,Webinar,294,5,6,53,0
LD-00730,1-10,Manager,Industrie,Linkedin,199,3,4,46,0
LD-00731,51-200,Operationnel,Tech,Site Web,237,1,5,80,0
LD-00732,11-50,Stagiaire,Industrie,Site Web,101,1,7,56,0
LD-00733,11-50,VP/C-Level,Sante,Site Web,204,4,0,70,0
LD-00734,11-50,Directeur,Industrie,Emailing,169,5,0,31,0
LD-00735,51-200,Manager,Education,Linkedin,263,1,4,53,1
LD-00736,11-50,VP/C-Level,Education,Linkedin,106,0,0,34,0
LD-00737,51-200,Manager,Sante,Site Web,115,1,2,31,0
LD-00738,11-50,VP/C-Level,Retail,Site Web,185,7,9,60,1
LD-00739,11-50,Stagiaire,Education,Cold Call,20,4,8,11,0
LD-00740,11-50,Operationnel,Tech,Cold Call,103,5,6,6,0
LD-00741,11-50,Operationnel,Sante,Webinar,643,2,5,27,1
LD-00742,51-200,Operationnel,Industrie,Webinar,6,4,7,7,1
LD-00743,11-50,Operationnel,Industrie,Linkedin,68,4,7,49,0
LD-00744,1-10,Manager,Tech,Linkedin,67,0,5,72,0
LD-00745,51-200,Manager,Education,Emailing,180,3,3,60,0
LD-00746,11-50,Manager,Sante,Emailing,20,3,3,33,0
LD-00747,11-50,Operationnel,Tech,Cold Call,178,5,3,47,0
LD-00748,200+,Directeur,Education,Webinar,17,3,5,44,0
LD-00749,11-50,Manager,Sante,Cold Call,17,5,0,79,0
LD-00750,1-10,Operationnel,Industrie,Cold Call,234,4,1,27,0
LD-00751,200+,Manager,Sante,Webinar,70,0,5,22,0
LD-00752,11-50,Operationnel,Retail,Emailing,682,2,0,47,0
LD-00753,11-50,Operationnel,Sante,Webinar,6,1,8,48,0
LD-00754,1-10,Directeur,Retail,Site Web,106,3,5,30,0
LD-00755,51-200,Operationnel,Sante,Site Web,21,5,6,2,0
LD-00756,11-50,Operationnel,Retail,Site Web,77,6,0,15,0
LD-00757,11-50,Directeur,Industrie,Linkedin,1139,2,7,47,1
LD-00758,51-200,Manager,Education,Emailing,395,2,4,27,0
LD-00759,51-200,Stagiaire,Retail,Emailing,8,6,4,71,0
LD-00760,1-10,Operationnel,Retail,Linkedin,149,9,5,27,0
LD-00761,11-50,Stagiaire,Industrie,Cold Call,187,3,6,85,0
LD-00762,1-10,Manager,Retail,Site Web,42,0,6,13,0
LD-00763,51-200,Operationnel,Tech,Site Web,28,3,4,55,0
LD-00764,1-10,Operationnel,Industrie,Cold Call,422,1,0,17,0
LD-00765,11-50,VP/C-Level,Tech,Webinar,624,3,8,75,1
LD-00766,51-200,Manager,Industrie,Webinar,866,3,5,59,1
LD-00767,51-200,Operationnel,Retail,Emailing,280,2,8,10,1
LD-00768,11-50,Manager,Tech,Linkedin,196,0,3,33,0
LD-00769,51-200,Manager,Retail,Emailing,76,4,1,78,0
LD-00770,1-10,Stagiaire,Industrie,Webinar,33,3,2,37,0
LD-00771,51-200,Operationnel,Retail,Cold Call,14,2,3,8,0
LD-00772,1-10,Directeur,Tech,Emailing,212,1,9,33,1
LD-00773,11-50,Operationnel,Tech,Site Web,276,3,7,7,1
LD-00774,51-200,Manager,Retail,Site Web,315,0,2,34,0
LD-00775,1-10,Operationnel,Sante,Cold Call,441,4,7,71,0
LD-00776,1-10,Stagiaire,Industrie,Webinar,381,4,5,7,0
LD-00777,51-200,Operationnel,Industrie,Site Web,1486,1,3,41,1
LD-00778,51-200,Operationnel,Retail,Site Web,50,3,6,55,0
LD-00779,11-50,Operationnel,Sante,Linkedin,259,3,4,7,0
LD-00780,11-50,Stagiaire,Tech,Emailing,158,3,4,84,0
LD-00781,11-50,Directeur,Education,Webinar,54,6,8,18,1
LD-00782,1-10,VP/C-Level,Education,Emailing,722,5,2,43,1
LD-00783,11-50,Manager,Retail,Webinar,410,5,9,78,1
LD-00784,1-10,Directeur,Sante,Site Web,24,3,3,40,0
LD-00785,200+,Operationnel,Sante,Linkedin,4,2,4,53,0
LD-00786,11-50,VP/C-Level,Industrie,Emailing,209,5,0,14,1
LD-00787,11-50,Operationnel,Tech,Site Web,166,5,6,21,0
LD-00788,11-50,VP/C-Level,Sante,Webinar,494,6,7,57,1
LD-00789,200+,VP/C-Level,Education,Emailing,47,1,5,46,0
LD-00790,1-10,Manager,Tech,Emailing,15,4,8,26,0
LD-00791,11-50,VP/C-Level,Tech,Site Web,54,1,2,24,0
LD-00792,11-50,Manager,Retail,Emailing,3,1,1,5,0
LD-00793,11-50,Operationnel,Sante,Linkedin,6,4,4,42,0
LD-00794,1-10,Operationnel,Retail,Linkedin,443,5,8,43,1
LD-00795,51-200,Manager,Sante,Site Web,78,2,0,32,0
